fecha_hora,tramites_online,cpu_usage,ram_usage,storage_usage,input_bytes,output_bytes
2025-06-01 00:00,53,72.75,5.06,651.32,25207767,25794969
2025-06-01 00:30,14,45.19,9.01,296.11,14627635,45969571
2025-06-01 01:00,38,26.78,17.91,287.75,43264245,30765219
2025-06-01 01:30,19,33.28,15.11,910.95,1048576,27252490
2025-06-01 02:00,31,40.75,1.0,453.73,2285895,20027801
2025-06-01 02:30,43,10.0,5.0,248.41,24893194,19985858
2025-06-01 03:00,41,28.79,6.63,685.31,20468203,14512291
2025-06-01 03:30,23,67.66,13.67,761.7,15781068,7035944
2025-06-01 04:00,13,64.09,1.0,100.0,22261268,9311354
2025-06-01 04:30,8,48.17,12.55,379.28,24547164,18140364
2025-06-01 05:00,37,35.35,5.38,288.32,26812088,19650314
2025-06-01 05:30,7,35.9,16.08,589.44,11398021,14826864
2025-06-01 06:00,27,76.49,1.0,239.85,3785359,22858956
2025-06-01 06:30,16,30.82,2.11,584.21,1048576,8409579
2025-06-01 07:00,42,51.11,1.0,541.89,12656312,31708938
2025-06-01 07:30,44,26.13,1.0,807.83,29611786,64235765
2025-06-01 08:00,31,26.29,10.99,620.22,1048576,47940894
2025-06-01 08:30,38,40.03,7.48,787.18,13337886,9531555
2025-06-01 09:00,83,38.76,14.54,706.99,1048576,29160898
2025-06-01 09:30,72,73.3,9.27,472.66,14061404,26109542
2025-06-01 10:00,68,69.23,7.24,516.11,18874368,32380026
2025-06-01 10:30,84,75.62,13.21,623.6,1048576,37528535
2025-06-01 11:00,54,82.18,5.31,642.62,32589742,1048576
2025-06-01 11:30,96,41.52,13.22,594.36,6564085,28689039
2025-06-01 12:00,41,44.24,1.0,389.64,17941135,28447866
2025-06-01 12:30,33,48.25,8.42,252.47,27934064,30094131
2025-06-01 13:00,42,32.72,15.96,686.59,44574965,17951621
2025-06-01 13:30,8,45.74,16.75,704.22,9038725,1048576
2025-06-01 14:00,69,25.08,1.0,376.37,37224448,27021803
2025-06-01 14:30,71,41.84,16.58,427.32,37413191,12970885
2025-06-01 15:00,82,85.43,13.56,351.84,33585889,34330378
2025-06-01 15:30,81,52.82,20.27,647.81,24473763,10873733
2025-06-01 16:00,65,27.0,14.21,260.83,8168407,20237516
2025-06-01 16:30,51,10.85,5.29,699.09,5515509,18182307
2025-06-01 17:00,42,53.45,5.52,820.89,24106762,27053260
2025-06-01 17:30,41,42.63,1.0,100.0,1048576,20426260
2025-06-01 18:00,41,48.41,5.17,352.5,37192990,15864954
2025-06-01 18:30,33,70.61,2.03,493.63,22796042,52575600
2025-06-01 19:00,39,37.39,15.47,640.78,26665287,6176112
2025-06-01 19:30,45,30.62,7.57,311.92,13453230,11639193
2025-06-01 20:00,18,58.86,17.46,568.87,1048576,16001269
2025-06-01 20:30,21,61.22,16.04,657.31,41387294,22387097
2025-06-01 21:00,48,21.8,1.0,350.42,19472056,16158556
2025-06-01 21:30,28,30.76,8.76,317.69,47112519,58049167
2025-06-01 22:00,37,53.25,8.9,361.39,1048576,1048576
2025-06-01 22:30,32,69.93,11.76,723.05,6207569,41460695
2025-06-01 23:00,17,48.21,1.52,532.61,1048576,19084083
2025-06-01 23:30,7,74.5,8.06,100.0,37140561,2432696
2025-06-02 00:00,11,44.46,8.01,667.29,58908999,12960399
2025-06-02 00:30,33,36.97,1.0,557.07,23530045,6039797
2025-06-02 01:00,31,75.17,14.2,483.36,1048576,41408266
2025-06-02 01:30,4,28.36,1.0,818.2,10695475,7214202
2025-06-02 02:00,8,26.05,5.13,463.9,21653094,30230446
2025-06-02 02:30,54,58.71,9.27,456.51,48926556,11964252
2025-06-02 03:00,3,58.61,1.0,515.21,24966594,31404851
2025-06-02 03:30,41,60.49,7.66,528.93,45696942,5997854
2025-06-02 04:00,23,41.21,15.04,334.14,1048576,40800092
2025-06-02 04:30,31,69.34,7.16,393.87,28521267,40412119
2025-06-02 05:00,36,59.44,23.47,169.15,30471618,24180162
2025-06-02 05:30,6,26.56,1.0,340.44,25092423,24022876
2025-06-02 06:00,13,37.51,1.0,561.82,8975810,13474201
2025-06-02 06:30,22,84.13,1.0,238.1,1048576,19325255
2025-06-02 07:00,24,57.7,8.97,489.8,36322672,9500098
2025-06-02 07:30,19,65.71,19.56,373.18,21684551,48444211
2025-06-02 08:00,14,52.5,1.0,512.59,10307502,23320330
2025-06-02 08:30,21,53.51,4.3,378.08,26822574,1048576
2025-06-02 09:00,91,68.36,9.72,349.04,31058821,22575841
2025-06-02 09:30,48,33.11,3.82,571.59,65850572,16745758
2025-06-02 10:00,74,32.53,1.0,526.57,8336179,1048576
2025-06-02 10:30,65,48.11,4.89,567.36,19639828,1048576
2025-06-02 11:00,102,46.3,10.78,551.29,10087301,20510146
2025-06-02 11:30,79,79.11,2.11,405.84,23173529,14365491
2025-06-02 12:00,40,64.61,5.54,218.75,21086863,19702743
2025-06-02 12:30,13,44.77,6.74,715.6,36175872,13421772
2025-06-02 13:00,20,34.81,11.59,527.45,20310917,38839255
2025-06-02 13:30,12,62.11,12.3,203.64,1960837,15686696
2025-06-02 14:00,76,78.71,7.08,499.37,36679188,28699525
2025-06-02 14:30,101,44.37,5.1,629.68,33879490,36899389
2025-06-02 15:00,112,41.29,18.36,642.02,28919726,25291653
2025-06-02 15:30,92,37.53,10.64,135.62,1048576,20646461
2025-06-02 16:00,48,65.88,2.87,546.29,43704647,36375101
2025-06-02 16:30,81,72.34,1.0,513.87,1048576,19828572
2025-06-02 17:00,27,19.6,3.22,701.99,6595543,17678991
2025-06-02 17:30,27,43.31,6.61,558.2,34917580,31646023
2025-06-02 18:00,27,53.48,9.73,403.0,1048576,36742103
2025-06-02 18:30,25,32.26,15.27,530.08,37444648,16829644
2025-06-02 19:00,49,65.36,13.03,268.83,36312186,34959523
2025-06-02 19:30,14,70.22,14.4,467.17,24746393,20625489
2025-06-02 20:00,49,39.37,1.0,100.0,31058821,8933867
2025-06-02 20:30,23,44.09,1.0,554.15,34393292,29800529
2025-06-02 21:00,11,25.38,21.38,142.84,31488737,20143144
2025-06-02 21:30,23,43.87,11.53,484.94,27074232,1048576
2025-06-02 22:00,13,34.01,1.0,478.56,22124953,15382609
2025-06-02 22:30,57,34.36,9.15,141.84,7098859,9867100
2025-06-02 23:00,57,45.24,1.67,349.06,1048576,23991418
2025-06-02 23:30,36,78.66,1.0,588.83,44805652,33931919
2025-06-03 00:00,41,14.56,7.46,197.92,23330816,17815306
2025-06-03 00:30,44,43.77,7.55,620.41,16494100,1048576
2025-06-03 01:00,16,78.56,11.15,200.32,18412994,3282042
2025-06-03 01:30,39,93.02,5.97,693.32,19272826,26990346
2025-06-03 02:00,56,80.74,10.58,164.14,9426698,40527462
2025-06-03 02:30,49,59.11,8.08,507.74,39573258,24169676
2025-06-03 03:00,36,79.01,1.0,460.15,16452157,18696110
2025-06-03 03:30,37,72.86,1.0,427.07,3995074,10926161
2025-06-03 04:00,34,66.65,4.9,315.86,24683479,41198551
2025-06-03 04:30,50,35.98,12.38,454.55,14176747,8923381
2025-06-03 05:00,44,17.3,14.33,533.54,31394365,11880366
2025-06-03 05:30,47,26.27,9.48,576.44,13316915,47573893
2025-06-03 06:00,17,19.14,3.57,864.22,29014097,1048576
2025-06-03 06:30,7,56.31,10.8,581.27,45340426,3292528
2025-06-03 07:00,21,22.25,10.71,763.55,22848471,34970009
2025-06-03 07:30,35,37.33,1.0,485.85,1782579,29066526
2025-06-03 08:00,45,46.3,15.22,405.48,32663142,32579256
2025-06-03 08:30,34,47.89,10.27,100.0,47018147,15917383
2025-06-03 09:00,74,59.95,8.6,690.05,22722641,9688842
2025-06-03 09:30,62,67.07,1.0,706.02,22429040,1048576
2025-06-03 10:00,79,58.79,8.95,693.13,30660362,19293798
2025-06-03 10:30,86,46.42,9.82,245.67,16410214,1048576
2025-06-03 11:00,103,15.17,5.74,519.7,10506731,11806965
2025-06-03 11:30,58,51.31,17.72,381.14,20604518,37140561
2025-06-03 12:00,23,67.33,1.0,439.67,26329743,51401195
2025-06-03 12:30,1,27.59,17.2,467.63,8095006,24264048
2025-06-03 13:00,28,48.51,4.63,646.44,1048576,49754931
2025-06-03 13:30,49,76.89,2.99,434.5,25585254,7937720
2025-06-03 14:00,69,23.93,14.42,303.79,9049210,9468641
2025-06-03 14:30,112,47.75,14.8,585.38,46797946,14648606
2025-06-03 15:00,62,46.55,2.33,422.37,1048576,61593354
2025-06-03 15:30,51,30.73,9.35,207.46,13893632,23865589
2025-06-03 16:00,78,68.94,11.78,834.37,11251220,11911823
2025-06-03 16:30,78,48.3,1.86,361.83,48297410,23708303
2025-06-03 17:00,48,52.26,1.97,762.72,38356910,48129638
2025-06-03 17:30,15,53.9,11.7,566.24,34634465,1048576
2025-06-03 18:00,38,47.45,5.93,564.54,27567063,27126661
2025-06-03 18:30,38,35.11,20.25,675.05,1048576,12572426
2025-06-03 19:00,15,84.4,11.91,537.89,34519121,35599155
2025-06-03 19:30,8,95.0,4.11,397.84,10234101,38252052
2025-06-03 20:00,36,49.51,1.0,535.71,10223616,44952453
2025-06-03 20:30,57,80.71,4.25,417.41,26445086,23068672
2025-06-03 21:00,16,36.67,12.66,421.34,20814233,24064819
2025-06-03 21:30,31,62.59,2.35,390.14,10915676,62757273
2025-06-03 22:00,47,53.64,3.51,526.64,6134169,21464350
2025-06-03 22:30,37,26.12,10.4,658.03,3932160,34655436
2025-06-03 23:00,21,40.89,20.54,273.54,7140802,27399290
2025-06-03 23:30,5,50.14,14.85,242.9,1876951,23425187
2025-06-04 00:00,29,55.58,8.21,235.22,38000394,30010245
2025-06-04 00:30,16,49.75,1.0,245.45,15655239,16787701
2025-06-04 01:00,19,76.79,5.92,485.05,13337886,27619491
2025-06-04 01:30,44,33.29,4.09,490.71,42687528,23813160
2025-06-04 02:00,26,25.85,1.0,795.96,19776143,53487861
2025-06-04 02:30,46,66.66,15.05,592.98,1048576,34120663
2025-06-04 03:00,47,71.93,3.73,200.27,22376611,53278146
2025-06-04 03:30,39,51.09,18.37,546.71,21768437,17270046
2025-06-04 04:00,29,29.15,18.38,706.43,29978787,22900899
2025-06-04 04:30,30,51.07,3.5,118.39,1048576,7434403
2025-06-04 05:00,43,73.23,1.0,579.27,30786191,21663580
2025-06-04 05:30,20,70.19,5.15,585.16,16609443,31373393
2025-06-04 06:00,25,64.42,17.02,428.42,1048576,25574768
2025-06-04 06:30,19,38.77,3.23,219.54,1488977,41177579
2025-06-04 07:00,33,26.06,9.03,554.85,19031654,14197719
2025-06-04 07:30,18,54.98,18.23,784.2,39216742,8933867
2025-06-04 08:00,26,37.94,13.8,269.75,43757076,3753902
2025-06-04 08:30,50,58.41,1.0,448.58,15843983,6270484
2025-06-04 09:00,112,48.94,1.0,568.75,7927234,7413432
2025-06-04 09:30,54,50.6,4.33,667.95,6018826,15927869
2025-06-04 10:00,76,35.93,2.76,526.34,5735710,17353932
2025-06-04 10:30,97,16.42,16.63,381.35,31509708,7686062
2025-06-04 11:00,74,41.65,18.82,385.39,23225958,1279262
2025-06-04 11:30,48,60.76,4.05,475.81,11670650,25406996
2025-06-04 12:00,19,39.58,1.0,682.16,6553600,31383879
2025-06-04 12:30,36,21.25,8.17,646.29,32296140,12540968
2025-06-04 13:00,49,30.16,4.83,817.74,23456645,21275607
2025-06-04 13:30,51,36.87,1.0,297.23,20017315,13925089
2025-06-04 14:00,93,39.32,11.4,546.3,10999562,7486832
2025-06-04 14:30,42,49.02,11.61,983.85,26329743,7822376
2025-06-04 15:00,126,78.56,1.0,799.2,1048576,1048576
2025-06-04 15:30,100,57.37,1.0,410.0,20415774,30660362
2025-06-04 16:00,96,55.35,12.77,703.62,1048576,10894704
2025-06-04 16:30,43,22.7,16.46,307.57,23383244,13023313
2025-06-04 17:00,17,60.7,11.38,443.72,32631685,24599592
2025-06-04 17:30,11,47.41,20.79,666.91,40401633,35200696
2025-06-04 18:00,31,36.4,10.43,649.17,8105492,24484249
2025-06-04 18:30,55,10.0,13.08,246.53,14669578,39237713
2025-06-04 19:00,32,32.18,16.08,703.0,24882708,24127733
2025-06-04 19:30,27,33.21,3.63,535.78,28531752,35190210
2025-06-04 20:00,36,48.86,15.24,388.67,29150412,33879490
2025-06-04 20:30,15,52.41,4.15,271.27,21663580,16431185
2025-06-04 21:00,42,30.21,7.76,696.08,47227863,41104179
2025-06-04 21:30,27,44.12,13.44,285.75,43641733,5798625
2025-06-04 22:00,4,29.25,12.43,603.71,22313697,20803747
2025-06-04 22:30,10,73.21,7.6,315.47,1048576,30303846
2025-06-04 23:00,44,42.63,6.93,405.13,43746590,44281364
2025-06-04 23:30,8,57.83,2.94,122.96,1048576,10674503
2025-06-05 00:00,47,84.59,1.85,409.83,12247367,36207329
2025-06-05 00:30,47,70.46,4.21,799.88,1048576,10192158
2025-06-05 01:00,9,46.52,13.55,495.37,41534095,16252928
2025-06-05 01:30,13,59.88,4.53,732.95,22575841,23980933
2025-06-05 02:00,23,46.91,12.27,666.46,2778726,33879490
2025-06-05 02:30,40,50.74,7.55,602.38,13904117,32317112
2025-06-05 03:00,19,63.79,14.63,450.84,22355640,10380902
2025-06-05 03:30,39,95.0,2.79,614.91,43012587,37612421
2025-06-05 04:00,44,59.65,8.33,254.67,17133731,33764147
2025-06-05 04:30,41,49.37,1.0,691.03,34036776,32180797
2025-06-05 05:00,54,16.12,7.2,709.07,21149777,22030581
2025-06-05 05:30,12,40.2,11.99,553.47,12918456,22649241
2025-06-05 06:00,40,90.83,3.25,259.8,1048576,7811891
2025-06-05 06:30,31,41.86,16.95,100.0,26319257,13254000
2025-06-05 07:00,14,17.6,1.0,417.93,9017753,8891924
2025-06-05 07:30,9,42.75,21.71,101.4,29014097,18685624
2025-06-05 08:00,24,25.6,7.12,512.79,33806090,1048576
2025-06-05 08:30,16,27.4,9.44,561.17,36605788,23488102
2025-06-05 09:00,82,60.27,15.72,833.05,12373196,45193625
2025-06-05 09:30,81,91.71,2.47,318.8,1048576,55564042
2025-06-05 10:00,91,58.86,10.56,557.05,10255073,36448501
2025-06-05 10:30,90,53.13,16.35,390.51,29318184,39478886
2025-06-05 11:00,53,78.49,1.54,264.76,1960837,18926796
2025-06-05 11:30,111,62.36,5.9,332.57,7780433,52250542
2025-06-05 12:00,37,75.81,10.01,326.65,23781703,1048576
2025-06-05 12:30,4,35.0,13.07,100.0,7130316,1048576
2025-06-05 13:00,33,10.3,10.15,759.79,16525557,9447669
2025-06-05 13:30,34,68.5,17.01,388.21,28563210,30849105
2025-06-05 14:00,85,28.91,3.53,559.11,17689477,13862174
2025-06-05 14:30,79,78.93,1.0,727.31,1048576,21663580
2025-06-05 15:00,77,65.06,1.0,684.73,1048576,13683916
2025-06-05 15:30,96,32.1,2.76,447.86,38168166,1048576
2025-06-05 16:00,89,72.34,10.87,777.47,23551016,1457520
2025-06-05 16:30,107,61.4,21.71,542.25,2118123,17081303
2025-06-05 17:00,39,71.56,6.32,457.37,17972592,1520435
2025-06-05 17:30,41,33.19,1.0,638.08,24075304,49062871
2025-06-05 18:00,33,83.69,14.16,474.75,17448304,24389877
2025-06-05 18:30,41,41.3,7.11,733.32,26476544,34844180
2025-06-05 19:00,49,47.23,14.46,549.96,20310917,22397583
2025-06-05 19:30,10,63.14,15.52,464.83,23551016,43295703
2025-06-05 20:00,6,52.03,13.84,586.54,2915041,25155338
2025-06-05 20:30,40,75.08,13.42,651.15,45015367,11366563
2025-06-05 21:00,22,70.26,7.66,509.93,1394606,28426895
2025-06-05 21:30,48,27.28,12.59,735.33,21086863,32768000
2025-06-05 22:00,16,64.3,18.9,645.14,33543946,6836715
2025-06-05 22:30,12,36.48,9.97,697.81,38891683,24693964
2025-06-05 23:00,37,70.34,1.0,236.76,52953088,41240494
2025-06-05 23:30,26,32.7,11.99,250.04,17815306,51055165
2025-06-06 00:00,38,75.44,15.21,560.41,1048576,11072962
2025-06-06 00:30,26,70.75,9.67,647.47,51149537,33806090
2025-06-06 01:00,19,60.95,5.78,863.31,37046190,40653291
2025-06-06 01:30,34,60.0,1.15,502.62,41701867,21789409
2025-06-06 02:00,36,34.14,10.43,382.21,1048576,26875002
2025-06-06 02:30,34,47.38,6.98,659.88,39384514,9216983
2025-06-06 03:00,50,69.36,15.85,447.85,5861539,17144217
2025-06-06 03:30,12,38.92,1.0,637.4,30817648,15602810
2025-06-06 04:00,11,54.63,7.51,256.29,32442941,20216545
2025-06-06 04:30,16,37.52,5.36,135.16,14722007,3701473
2025-06-06 05:00,58,37.36,8.01,126.72,10013900,4120903
2025-06-06 05:30,42,16.36,7.79,528.13,28468838,38881198
2025-06-06 06:00,24,54.98,10.35,575.35,5347737,16410214
2025-06-06 06:30,44,65.81,10.24,824.19,17196646,16882073
2025-06-06 07:00,41,79.61,7.04,630.06,32107397,43694161
2025-06-06 07:30,26,60.67,9.25,633.91,58699284,29244784
2025-06-06 08:00,46,52.88,5.05,402.94,39866859,23005757
2025-06-06 08:30,46,85.35,8.89,437.4,1048576,4823449
2025-06-06 09:00,82,36.67,11.88,716.11,29475471,2852126
2025-06-06 09:30,71,88.4,7.0,634.62,18371051,8608808
2025-06-06 10:00,69,68.85,3.3,496.92,11072962,4613734
2025-06-06 10:30,26,45.91,13.11,781.88,1048576,1048576
2025-06-06 11:00,118,50.14,1.0,377.99,18098421,44637880
2025-06-06 11:30,109,74.75,1.0,576.21,4771020,33313259
2025-06-06 12:00,36,57.18,7.18,734.37,12677283,42698014
2025-06-06 12:30,30,58.05,1.0,100.0,34959523,16106127
2025-06-06 13:00,44,21.28,10.3,356.45,6197084,7151288
